SNNAME QF Ha eHa Hb eHb OIIIb eOIIIb NIIb eNIIb SII eSII
ASASSN14ba S 1.413e-15 4.077e-16 4.939e-16 1.468e-16 2.579e-16 9.173e-17 4.785e-16 1.36e-16 6.09e-16 1.221e-16
ASASSN14co S 4.036e-16 1.326e-16 1.411e-16 4.437e-17 1.152e-16 3.663e-17 1.088e-16 3.523e-17 1.6e-16 3.909e-17
ASASSN14cu S 7.586e-17 1.73e-17 3.975e-17 7.059e-18 1.446e-16 2.33e-17 7.12e-17 1.537e-17 nan nan
ASASSN14db S 6.797e-15 2.007e-15 2.377e-15 7.354e-16 7.925e-16 2.307e-16 2.697e-15 7.923e-16 1.723e-15 3.641e-16
ASASSN14dz S 4.03e-17 1.202e-17 nan nan 8.315e-17 1.98e-17 3.573e-17 9.724e-18 nan nan
ASASSN14ew S 3.557e-16 1.13e-16 1.244e-16 2.694e-17 1.027e-16 3.622e-17 8.857e-17 2.877e-17 1.095e-13 3.35e-14
ASASSN14fa G nan nan nan nan nan nan nan nan nan nan
ASASSN14hr S 1.469e-15 3.722e-16 5.138e-16 1.47e-16 1.457e-16 4.339e-17 4.927e-16 1.235e-16 3.338e-16 5.458e-17
ASASSN14ig S 1.486e-16 2.744e-17 6.379e-17 1.163e-17 1.036e-16 2.089e-17 1.76e-16 3.409e-17 2.035e-16 1.809e-17
ASASSN14jc S 5.13e-15 1.72e-15 1.794e-15 5.93e-16 5.648e-16 2.123e-16 1.969e-15 6.505e-16 1.874e-15 4.402e-16
ASASSN14jg S 3.347e-15 1.159e-15 1.17e-15 3.844e-16 9.627e-16 3.216e-16 7.325e-16 2.566e-16 1.204e-15 3.037e-16
ASASSN14jz S 6.07e-16 2.055e-16 2.2e-16 6.814e-17 2.099e-16 6.825e-17 5.181e-17 1.597e-17 2.319e-16 5.557e-17
ASASSN14kq S 3.208e-16 1.066e-16 1.122e-16 4.214e-17 1.594e-16 5.989e-17 5.02e-17 1.763e-17 1.3e-16 3.442e-17
ASASSN14kr S 2.565e-16 8.796e-17 8.969e-17 3.047e-17 1.116e-16 3.745e-17 3.56e-17 1.221e-17 1.225e-16 3.107e-17
ASASSN14lp S 6.349e-13 1.711e-13 2.22e-13 6.04e-14 4.187e-14 1.039e-14 2.091e-13 5.517e-14 1.373e-13 2.491e-14
ASASSN14lt S 2.679e-18 9.925e-19 3.75e-18 1.009e-18 4.454e-18 1.237e-18 3.396e-18 1.061e-18 nan nan
ASASSN14lu S 1.048e-17 3.938e-18 nan nan 1.632e-17 4.609e-18 8.681e-18 3.011e-18 nan nan
ASASSN14lv S 1.068e-16 3.713e-17 3.734e-17 1.115e-17 1.304e-17 3.888e-18 3.757e-17 1.254e-17 5.442e-17 1.414e-17
ASASSN14mf S 5.952e-16 2.056e-16 2.101e-16 6.75e-17 3.305e-16 1.16e-16 7.765e-17 2.702e-17 2.293e-16 5.71e-17
ASASSN15aj S 2.089e-15 4.164e-16 7.304e-16 1.941e-16 1.534e-15 2.927e-16 2.254e-15 4.465e-16 1.73e-15 2.237e-16
LSQ12dbr G 5.21e-17 1.958e-17 3.776e-17 1.419e-17 3.602e-17 1.353e-17 nan nan 6.032e-17 8.367e-18
LSQ12gdj X nan nan nan nan nan nan nan nan nan nan
PTF12jgb S 2.693e-16 9.07e-17 9.834e-17 3.318e-17 1.035e-16 3.055e-17 4.743e-17 1.547e-17 1.339e-16 3.502e-17
SN1986G S 3.504e-12 1.012e-12 1.225e-12 4.604e-13 nan nan 1.934e-12 5.103e-13 2.04e-12 3.956e-13
SN1994D S 1.419e-13 1.333e-14 5.096e-14 4.787e-15 3.272e-14 3.074e-15 8.074e-14 7.585e-15 3.74e-14 2.511e-15
SN2001cp S 1.324e-17 2.829e-18 2.348e-17 8.019e-18 nan nan nan nan nan nan
SN2001da S 3.537e-16 1.153e-16 nan nan nan nan 1.781e-16 5.25e-17 1.14e-16 2.984e-17
SN2001el S 3.78e-14 1.291e-14 1.322e-14 4.624e-15 1.009e-14 3.312e-15 1.287e-14 4.324e-15 1.351e-14 3.35e-15
SN2002cr G 1.536e-16 5.286e-17 9.886e-17 3.238e-17 nan nan 2.186e-17 8.216e-18 9.414e-17 2.093e-17
SN2007af S 3.306e-15 1.185e-15 1.156e-15 4.106e-16 5.784e-16 2.086e-16 5.696e-16 2.118e-16 1.385e-15 3.633e-16
SN2007fb S 3.594e-16 1.201e-16 1.257e-16 3.933e-17 3.117e-17 1.171e-17 1.572e-16 5.178e-17 1.35e-16 3.674e-17
SN2007fs X nan nan 4.366e-17 1.641e-17 nan nan nan nan nan nan
SN2007le S 1.659e-14 5.63e-15 5.8e-15 1.898e-15 1.574e-15 3.643e-16 6.966e-15 2.416e-15 6.049e-15 1.517e-15
SN2007sr X nan nan nan nan nan nan nan nan nan nan
